Ticker,Date,Open,High,Low,Close,Volume,Adj_Close,Change,Gain,Loss,AvgGain,AvgLoss,RS,RSI,EMA12,EMA26,MACD,Signal,Histogram
SJW,2017-01-13,50.990002,51.349998,50.779999,51.09,74800,51.09,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-12,51.080002,52.009998,50.830002,51.099998,99900,51.099998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-11,50.779999,51.990002,50.599998,51.50,94700,51.50,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-10,51.029999,51.560001,50.990002,51.080002,96700,51.080002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-09,51.880001,52.900002,51.330002,51.439999,120100,51.439999,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-06,53.389999,54.00,51.34,51.669998,155600,51.669998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-05,55.200001,55.23,53.560001,53.830002,76900,53.830002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-04,54.98,55.48,54.599998,55.299999,153500,55.299999,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2017-01-03,56.419998,56.419998,55.080002,55.139999,78100,55.139999,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-30,56.450001,56.450001,55.57,55.98,39800,55.98,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-29,56.189999,56.509998,55.860001,56.349998,30400,56.349998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-28,56.73,56.919998,55.619999,55.919998,34400,55.919998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-27,56.07,56.790001,56.040001,56.630001,36800,56.630001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-23,55.779999,56.139999,55.419998,56.110001,31100,56.110001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-22,56.099998,56.32,55.25,55.439999,53800,55.439999,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-21,56.700001,56.880001,55.639999,55.669998,55100,55.669998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-20,56.41,56.59,55.799999,56.57,85200,56.57,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-19,55.150002,56.360001,54.509998,55.970001,90000,55.970001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-16,54.509998,55.59,54.509998,55.25,242400,55.25,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-15,54.509998,55.619999,53.759998,54.77,96300,54.77,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-14,55.990002,56.150002,54.220001,54.43,70200,54.43,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-13,56.470001,56.93,55.389999,55.810001,72700,55.810001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-12,56.639999,56.639999,55.560001,56.240002,71300,56.240002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-09,56.27,56.709999,55.720001,56.689999,86400,56.689999,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-08,55.23,56.650002,53.93,56.400002,89200,56.400002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-07,55.150002,56.209999,55.150002,55.610001,79500,55.610001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-06,55.740002,55.849998,54.759998,55.259998,69500,55.259998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-05,54.259998,55.189999,52.869999,55.080002,95900,55.080002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-02,54.330002,54.84,53.450001,54.50,100900,54.50,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-12-01,53.630001,54.27,52.880001,54.27,87300,54.27,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-30,55.150002,55.150002,53.549999,53.669998,93100,53.669998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-29,56.049999,56.66,55.259998,55.32,95500,55.32,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-28,55.00,56.349998,54.630001,56.150002,101100,56.150002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-25,53.32,55.150002,53.32,54.689999,58200,54.689999,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-23,55.310001,55.82,53.150002,53.360001,110400,53.360001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-22,53.799999,55.860001,53.419998,55.82,135700,55.82,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-21,53.41,53.599998,52.310001,53.57,88700,53.57,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-18,52.459999,53.25,51.200001,53.169998,135200,53.169998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-17,50.82,52.529999,50.669998,52.299999,100700,52.299999,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-16,49.830002,51.00,49.75,50.740002,184900,50.740002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-15,49.169998,50.32,49.00,50.080002,138100,50.080002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-14,48.900002,50.029999,48.900002,49.490002,161000,49.490002,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-11,47.68,49.419998,47.68,48.880001,183500,48.880001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-10,49.00,49.040001,46.52,47.970001,148200,47.970001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-09,48.82,49.450001,48.490002,48.77,172300,48.77,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-08,49.380001,50.700001,49.189999,49.599998,113100,49.599998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-07,49.529999,50.369999,49.240002,49.34,179400,49.34,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-04,48.860001,49.25,48.240002,48.790001,126100,48.790001,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-03,48.540001,49.369999,47.59,48.849998,150600,48.849998,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-02,48.75,49.66,48.630001,48.709999,148900,48.507,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-11-01,50.439999,51.040001,48.799999,48.849998,208000,48.646416,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-31,51.279999,51.389999,50.189999,50.73,244400,50.518582,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-28,51.25,53.610001,50.82,50.98,237300,50.767541,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-27,45.00,52.389999,44.599998,51.09,525400,50.877083,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-26,44.869999,44.970001,44.529999,44.650002,47400,44.463923,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-25,44.580002,45.00,44.50,44.990002,44400,44.802506,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-24,44.369999,44.98,44.07,44.919998,46600,44.732794,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-21,43.73,44.540001,43.619999,44.240002,35500,44.055632,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-20,43.669998,44.299999,43.650002,44.139999,31600,43.956046,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-19,43.720001,44.110001,43.290001,43.75,50400,43.567672,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-18,43.27,43.880001,42.59,43.57,30900,43.388422,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-17,42.93,43.389999,42.82,43.139999,32400,42.960214,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-14,43.060001,43.32,42.700001,42.970001,30400,42.790924,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-13,43.200001,43.970001,43.00,43.049999,36900,42.870588,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-12,42.57,43.650002,42.57,43.240002,33100,43.059799,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-11,43.080002,43.080002,42.200001,42.549999,48300,42.372672,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-10,42.50,43.77,42.50,43.09,71700,42.910423,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-07,43.150002,43.32,42.27,42.279999,59700,42.103797,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-06,42.119999,43.209999,42.009998,42.91,55600,42.731173,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-05,42.299999,42.73,42.18,42.34,52400,42.163548,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-04,43.470001,43.470001,42.09,42.189999,54400,42.014172,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-10-03,43.52,43.52,42.709999,43.439999,72400,43.258963,0,0,0,0,0,0,0,0,0,0,0,0
