Ticker,Date,Open,High,Low,Close,Volume,Adj_Close,Change,Gain,Loss,AvgGain,AvgLoss,RS,RSI,EMA12
WOR,2017-01-13,46.619999,47.299999,46.57,46.880001,393300,46.880001,0,0,0,0,0,0,0,0
WOR,2017-01-12,47.169998,47.310001,46.060001,46.73,964500,46.73,0,0,0,0,0,0,0,0
WOR,2017-01-11,47.560001,47.84,47.209999,47.580002,580300,47.580002,0,0,0,0,0,0,0,0
WOR,2017-01-10,46.799999,47.759998,46.799999,47.599998,1027100,47.599998,0,0,0,0,0,0,0,0
WOR,2017-01-09,47.490002,47.529999,46.360001,46.419998,997100,46.419998,0,0,0,0,0,0,0,0
WOR,2017-01-06,48.279999,48.509998,47.509998,47.560001,652900,47.560001,0,0,0,0,0,0,0,0
WOR,2017-01-05,48.400002,49.09,47.959999,48.419998,1033200,48.419998,0,0,0,0,0,0,0,0
WOR,2017-01-04,47.240002,48.950001,47.029999,48.810001,970800,48.810001,0,0,0,0,0,0,0,0
WOR,2017-01-03,48.369999,49.029999,46.560001,47.09,805500,47.09,0,0,0,0,0,0,0,0
WOR,2016-12-30,48.150002,48.16,47.330002,47.439999,450000,47.439999,0,0,0,0,0,0,0,0
WOR,2016-12-29,48.740002,49.040001,47.759998,48.099998,517600,48.099998,0,0,0,0,0,0,0,0
WOR,2016-12-28,49.439999,49.709999,48.040001,48.52,659300,48.52,0,0,0,0,0,0,0,0
WOR,2016-12-27,49.029999,49.779999,48.950001,49.150002,573800,49.150002,0,0,0,0,0,0,0,0
WOR,2016-12-23,49.860001,49.990002,48.950001,49.18,457100,49.18,0,0,0,0,0,0,0,0
WOR,2016-12-22,50.990002,51.299999,49.18,49.75,1029200,49.75,0,0,0,0,0,0,0,0
WOR,2016-12-21,51.299999,51.950001,51.25,51.400002,828700,51.400002,0,0,0,0,0,0,0,0
WOR,2016-12-20,51.490002,53.50,50.150002,51.459999,3622400,51.459999,0,0,0,0,0,0,0,0
WOR,2016-12-19,55.130001,55.849998,54.900002,55.75,731500,55.75,0,0,0,0,0,0,0,0
WOR,2016-12-16,55.630001,56.029999,55.080002,55.240002,1736800,55.240002,0,0,0,0,0,0,0,0
WOR,2016-12-15,54.98,56.349998,54.119999,55.68,715700,55.68,0,0,0,0,0,0,0,0
WOR,2016-12-14,55.50,56.639999,55.290001,55.34,539100,55.34,0,0,0,0,0,0,0,0
WOR,2016-12-13,55.73,56.189999,54.880001,55.50,601600,55.50,0,0,0,0,0,0,0,0
WOR,2016-12-12,56.529999,57.00,55.049999,55.630001,711100,55.430002,0,0,0,0,0,0,0,0
WOR,2016-12-09,59.110001,59.290001,57.310001,57.549999,741800,57.343097,0,0,0,0,0,0,0,0
WOR,2016-12-08,59.040001,59.779999,58.049999,58.849998,520500,58.638423,0,0,0,0,0,0,0,0
WOR,2016-12-07,58.299999,58.759998,57.48,58.740002,721200,58.528821,0,0,0,0,0,0,0,0
WOR,2016-12-06,57.459999,58.009998,56.290001,57.98,549300,57.771551,0,0,0,0,0,0,0,0
WOR,2016-12-05,57.580002,57.849998,56.830002,57.490002,713000,57.283315,0,0,0,0,0,0,0,0
WOR,2016-12-02,56.669998,57.41,56.32,56.82,566700,56.615722,0,0,0,0,0,0,0,0
WOR,2016-12-01,56.330002,56.860001,55.610001,56.73,1029300,56.526045,0,0,0,0,0,0,0,0
WOR,2016-11-30,58.150002,58.349998,56.27,56.279999,1071000,56.077662,0,0,0,0,0,0,0,0
WOR,2016-11-29,58.450001,58.709999,57.029999,57.720001,1204100,57.512488,0,0,0,0,0,0,0,0
WOR,2016-11-28,61.490002,61.549999,59.830002,60.310001,703900,60.093176,0,0,0,0,0,0,0,0
WOR,2016-11-25,61.740002,61.93,61.240002,61.450001,175000,61.229077,0,0,0,0,0,0,0,0
WOR,2016-11-23,62.040001,62.130001,61.009998,61.73,591700,61.508069,0,0,0,0,0,0,0,0
WOR,2016-11-22,60.509998,62.439999,59.75,62.349998,716500,62.125839,0,0,0,0,0,0,0,0
WOR,2016-11-21,58.93,59.419998,57.950001,58.990002,504700,58.777922,0,0,0,0,0,0,0,0
WOR,2016-11-18,58.220001,58.490002,57.389999,58.439999,396300,58.229897,0,0,0,0,0,0,0,0
WOR,2016-11-17,57.380001,58.389999,57.32,58.189999,536200,57.980795,0,0,0,0,0,0,0,0
WOR,2016-11-16,57.200001,57.73,55.75,57.02,611100,56.815004,0,0,0,0,0,0,0,0
WOR,2016-11-15,58.09,58.389999,57.150002,57.700001,1319700,57.492559,0,0,0,0,0,0,0,0
WOR,2016-11-14,56.119999,58.889999,56.119999,58.869999,1168900,58.658351,0,0,0,0,0,0,0,0
WOR,2016-11-11,52.650002,55.639999,52.650002,55.380001,1002000,55.1809,0,0,0,0,0,0,0,0
WOR,2016-11-10,53.07,53.869999,51.880001,52.259998,707600,52.072115,0,0,0,0,0,0,0,0
WOR,2016-11-09,50.080002,52.48,49.779999,52.060001,848600,51.872837,0,0,0,0,0,0,0,0
WOR,2016-11-08,48.189999,49.82,48.189999,49.50,401700,49.322039,0,0,0,0,0,0,0,0
WOR,2016-11-07,48.290001,48.860001,48.169998,48.450001,626000,48.275815,0,0,0,0,0,0,0,0
