No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,No2,Ticker2,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
11,AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,USA,2514.23,,7.89,2.73%,11728139,11,AKS,2.8,0.4,-5.54%,-11.80%,17.73%,-30.73%,138.37%,38.79,7.89,2.73%,1.28%,1.43%,11728139
12,MDR,"McDermott International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1585.87,56.02,6.61,0.30%,2462479,12,MDR,1.46,0.28,-11.28%,-13.16%,10.84%,-20.65%,87.25%,31.14,6.61,0.30%,0.30%,0.00%,2462479
13,WLL,Whiting Petroleum Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,3428.38,,9.29,1.53%,9571035,13,WLL,3.22,0.47,-13.70%,-18.71%,-5.75%,-35.66%,45.61%,29.66,9.29,1.53%,1.98%,-0.44%,9571035
14,CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,USA,3559.05,,15.35,1.05%,2083472,14,CNX,1.45,0.51,-5.07%,-11.69%,-12.90%,-31.29%,58.90%,37.25,15.35,1.05%,0.85%,0.20%,2083472
15,MTDR,Matador Resources Company,Basic Materials,Independent Oil & Gas,USA,2332.66,,23.13,-0.81%,1283143,15,MTDR,1.26,0.97,-8.03%,-9.87%,-1.91%,-18.87%,31.87%,37.81,23.13,-0.81%,-0.73%,-0.09%,1283143
16,HES,Hess Corporation,Basic Materials,Independent Oil & Gas,USA,15432.82,,47.79,0.78%,6240674,16,HES,1.8,1.36,-6.54%,-13.30%,-12.35%,-26.82%,5.75%,26.85,47.79,0.78%,1.44%,-0.65%,6240674
17,REN,Resolute Energy Corporation,Basic Materials,Independent Oil & Gas,USA,783.37,,36.15,-1.28%,834879,17,REN,3.31,2.37,-19.18%,-18.18%,41.75%,-26.43%,1438.30%,29.37,36.15,-1.28%,-2.11%,0.85%,834879
18,CRZO,"Carrizo Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,USA,1836.43,,28.49,1.33%,1226889,18,CRZO,2.12,1.33,-11.37%,-17.55%,-22.39%,-35.20%,8.23%,31.19,28.49,1.33%,1.26%,0.07%,1226889
19,ESV,Ensco plc,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,2587.39,2.75,8.71,-0.34%,5788436,19,ESV,1.71,0.48,-12.98%,-17.66%,-6.78%,-29.22%,34.27%,32.26,8.71,-0.34%,-0.23%,-0.11%,5788436
20,BAS,"Basic Energy Services, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,789.58,,31.52,-1.22%,418683,20,BAS,,1.65,-19.29%,-19.08%,-18.96%,-29.66%,7.36%,29.99,31.52,-1.22%,-0.76%,-0.47%,418683
21,CPE,Callon Petroleum Company,Basic Materials,Independent Oil & Gas,USA,2314.08,,11.6,0.61%,3034884,21,CPE,1.68,0.54,-12.74%,-19.62%,-16.69%,-37.40%,50.06%,27.49,11.6,0.61%,1.05%,-0.43%,3034884
22,APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,35143.39,,62.82,1.50%,4143915,22,APC,1.47,1.61,-3.67%,-7.70%,2.79%,-14.26%,44.83%,36.26,62.82,1.50%,1.68%,-0.18%,4143915
23,SXC,"SunCoke Energy, Inc.",Basic Materials,Nonmetallic Mineral Mining,USA,562.09,39.82,8.72,5.06%,959014,23,SXC,1.31,0.36,-9.36%,-14.02%,-0.08%,-33.64%,69.65%,34.92,8.72,5.06%,3.93%,1.08%,959014
24,EGN,Energen Corporation,Basic Materials,Independent Oil & Gas,USA,4962.37,,50.59,-0.30%,1055923,24,EGN,1.9,1.63,-6.01%,-7.90%,-5.74%,-21.49%,60.96%,36.73,50.59,-0.30%,0.24%,-0.53%,1055923
25,QEP,"QEP Resources, Inc.",Basic Materials,Oil & Gas Pipelines,USA,3097.57,,12.92,0.08%,3793342,25,QEP,1.79,0.6,-14.39%,-23.23%,-28.15%,-38.83%,9.58%,22.06,12.92,0.08%,0.39%,-0.31%,3793342
