No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
41,SLCA,"U.S. Silica Holdings, Inc.",Basic Materials,Industrial Metals & Minerals,USA,3740.46,,46.5,-0.13%,1934299,2.58,2.59,-13.64%,-16.87%,2.63%,-24.38%,139.32%,32.3,46.5,-0.13%,0.00%,-0.13%,1934299
23,SXC,"SunCoke Energy, Inc.",Basic Materials,Nonmetallic Mineral Mining,USA,562.09,39.82,8.72,5.06%,959014,1.31,0.36,-9.36%,-14.02%,-0.08%,-33.64%,69.65%,34.92,8.72,5.06%,3.93%,1.08%,959014
2,CVE,Cenovus Energy Inc.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,9974.6,,11.97,-0.91%,1949827,0.66,0.36,-8.51%,-13.63%,-17.20%,-28.83%,1.83%,30.39,11.97,-0.91%,-0.33%,-0.58%,1949827
19,ESV,Ensco plc,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,2587.39,2.75,8.71,-0.34%,5788436,1.71,0.48,-12.98%,-17.66%,-6.78%,-29.22%,34.27%,32.26,8.71,-0.34%,-0.23%,-0.11%,5788436
29,HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,673.16,,7.39,0.54%,990655,3.5,0.41,-12.57%,-16.40%,26.84%,-38.47%,3259.09%,32.53,7.39,0.54%,1.37%,-0.82%,990655
42,NBR,Nabors Industries Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Bermuda,3766.73,,13.41,-0.22%,4263456,1.67,0.55,-9.54%,-16.04%,6.93%,-26.79%,79.63%,29.31,13.41,-0.22%,0.68%,-0.89%,4263456
39,UNT,Unit Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,1149.73,,22.26,0.50%,370411,2.5,1.38,-14.15%,-16.37%,11.14%,-27.33%,174.14%,33.07,22.26,0.50%,1.18%,-0.68%,370411
13,WLL,Whiting Petroleum Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,3428.38,,9.29,1.53%,9571035,3.22,0.47,-13.70%,-18.71%,-5.75%,-35.66%,45.61%,29.66,9.29,1.53%,1.98%,-0.44%,9571035
20,BAS,"Basic Energy Services, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,789.58,,31.52,-1.22%,418683,,1.65,-19.29%,-19.08%,-18.96%,-29.66%,7.36%,29.99,31.52,-1.22%,-0.76%,-0.47%,418683
26,BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services,USA,24587.22,,56.68,0.71%,1665250,0.8,1.13,-5.67%,-8.02%,4.39%,-17.14%,50.51%,28.12,56.68,0.71%,0.34%,0.37%,1665250
