"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
23,"RRC","Range Resources Corporation","Basic Materials","Independent Oil & Gas","USA",6809.28,,27.51,-0.65%,4802500,23,"RRC",1.04,0.99,-3.09%,-12.64%,-25.77%,-41.31%,3.11%,37.14,27.51,-0.65%,-1.26%,0.61%,4802500
24,"CPE","Callon Petroleum Company","Basic Materials","Independent Oil & Gas","USA",2384.45,,11.86,0.51%,5726800,24,"CPE",1.67,0.52,-6.57%,-16.00%,-14.84%,-36.00%,51.08%,35.49,11.86,0.51%,0.00%,0.51%,5726800
25,"NBR","Nabors Industries Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Bermuda",3849.24,,13.49,-0.37%,5798300,25,"NBR",1.66,0.53,-6.06%,-14.29%,6.79%,-26.35%,80.71%,35.75,13.49,-0.37%,-0.66%,0.30%,5798300
26,"OAS","Oasis Petroleum Inc.","Basic Materials","Independent Oil & Gas","USA",3039.74,,12.80,-1.46%,9896500,26,"OAS",2.19,0.60,-7.07%,-10.38%,8.71%,-25.06%,100.00%,39.95,12.80,-1.46%,-1.77%,0.31%,9896500
27,"HAL","Halliburton Company","Basic Materials","Oil & Gas Equipment & Services","USA",44022.70,,50.78,-0.27%,8007700,27,"HAL",1.06,1.24,-3.46%,-6.92%,5.41%,-13.31%,55.01%,38.35,50.78,-0.27%,-0.72%,0.45%,8007700
28,"ESV","Ensco plc","Basic Materials","Oil & Gas Drilling & Exploration","United Kingdom",2584.16,2.70,8.53,-0.70%,10097000,28,"ESV",1.70,0.44,-10.76%,-18.57%,-8.49%,-30.69%,31.50%,33.96,8.53,-0.70%,-0.81%,0.12%,10097000
29,"WLL","Whiting Petroleum Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",3322.33,,9.16,-1.29%,13830900,29,"WLL",3.21,0.48,-11.50%,-18.10%,-6.47%,-36.57%,43.57%,34.11,9.16,-1.29%,-1.93%,0.65%,13830900
30,"PBI","Pitney Bowes Inc.","Consumer Goods","Business Equipment","USA",2393.38,25.89,12.84,-4.46%,14272400,30,"PBI",1.37,0.30,-5.10%,-10.08%,-20.59%,-38.28%,4.93%,33.37,12.84,-4.46%,-4.25%,-0.22%,14272400
31,"LKQ","LKQ Corporation","Consumer Goods","Auto Parts","USA",9342.15,20.59,30.31,-0.33%,3093800,31,"LKQ",0.54,0.56,-3.20%,-3.56%,-7.97%,-16.62%,3.20%,39.42,30.31,-0.33%,-0.92%,0.59%,3093800
32,"TVPT","Travelport Worldwide Limited","Consumer Goods","Recreational Goods, Other","United Kingdom",1503.85,89.78,12.12,0.00%,1303000,32,"TVPT",,0.27,-3.75%,-10.61%,-10.41%,-19.10%,9.25%,33.35,12.12,0.00%,-0.49%,0.50%,1303000
33,"BUFF","Blue Buffalo Pet Products, Inc.","Consumer Goods","Food - Major Diversified","USA",4689.68,36.32,23.86,-1.24%,1971400,33,"BUFF",,0.55,-3.28%,-3.95%,-3.83%,-13.24%,10.48%,36.81,23.86,-1.24%,1.71%,-2.90%,1971400
34,"LTRPA","Liberty TripAdvisor Holdings, Inc.","Consumer Goods","Recreational Goods, Other","USA",1043.75,52.06,13.90,0.00%,1087000,34,"LTRPA",,0.51,-1.09%,-13.92%,-28.29%,-43.59%,6.51%,37.01,13.90,0.00%,0.00%,0.00%,1087000
