"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
52,"GCI","Gannett Co., Inc.","Services","Publishing - Newspapers","USA",920.08,18.30,8.09,1.13%,1044978
53,"UAL","United Continental Holdings, Inc.","Services","Major Airlines","USA",21506.95,9.10,68.17,2.43%,11319279
54,"YRCW","YRC Worldwide Inc.","Services","Trucking","USA",392.00,18.32,11.74,2.44%,523812
55,"ETSY","Etsy, Inc.","Services","Specialty Retail, Other","USA",1178.19,,10.23,1.89%,1732399
56,"BKS","Barnes & Noble, Inc.","Services","Specialty Retail, Other","USA",616.02,124.64,8.60,-0.58%,656906
57,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",21658.42,8.81,42.09,2.14%,13971653
58,"SCOR","comScore, Inc.","Services","Business Services","USA",1263.59,,22.10,0.23%,152613
59,"GNC","GNC Holdings, Inc.","Services","Drug Stores","USA",475.44,,6.97,0.29%,3322078
60,"KR","The Kroger Co.","Services","Grocery Stores","USA",27064.90,13.86,28.84,0.49%,9013115
61,"RRD","R.R. Donnelley & Sons Company","Services","Business Services","USA",988.49,,13.75,0.66%,1121040
62,"JCP","J. C. Penney Company, Inc.","Services","Department Stores","USA",1850.66,,6.06,0.83%,12563483
63,"DAL","Delta Air Lines, Inc.","Services","Major Airlines","USA",34854.06,8.17,47.19,1.97%,17908010
64,"SHOR","ShoreTel, Inc.","Technology","Communication Equipment","USA",412.66,,6.10,1.67%,250632
65,"TDS","Telephone and Data Systems, Inc.","Technology","Wireless Communications","USA",2842.10,67.47,26.18,1.55%,716647
66,"PANW","Palo Alto Networks, Inc.","Technology","Networking & Communication Devices","USA",10416.74,,116.95,0.27%,1274659
67,"CIEN","Ciena Corporation","Technology","Communication Equipment","USA",3359.21,43.40,23.74,3.89%,5485828
68,"SNCR","Synchronoss Technologies, Inc.","Technology","Application Software","USA",1187.32,,25.89,1.05%,998397
69,"YELP","Yelp Inc.","Technology","Internet Information Providers","USA",2708.20,,34.16,1.15%,2289370
70,"IIVI","II-VI Incorporated","Technology","Scientific & Technical Instruments","USA",2114.90,30.84,33.65,1.97%,1232869
71,"RUBI","the Rubicon Project, Inc.","Technology","Application Software","USA",292.76,15.38,6.06,-27.77%,6967019
72,"RUN","Sunrun Inc.","Technology","Semiconductor - Specialized","USA",537.55,5.73,5.00,2.25%,891554
73,"SYNA","Synaptics Incorporated","Technology","Application Software","USA",1739.20,45.63,49.55,0.24%,525178
74,"IPHI","Inphi Corporation","Technology","Semiconductor - Broad Line","USA",1842.06,73.20,43.63,4.15%,1511715
75,"FNSR","Finisar Corporation","Technology","Networking & Communication Devices","USA",3805.99,30.27,26.58,3.46%,8726775
