"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
22,"PDCE","PDC Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",4251.38,,64.65,0.33%,1089514,22,"PDCE",1.09,1.98,-4.58%,-9.95%,-1.39%,-23.83%,28.99%,38.57,64.65,0.33%,0.22%,0.11%,1089514
23,"UNT","Unit Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",1147.15,,22.21,-0.98%,1335438,23,"UNT",2.49,1.39,-10.30%,-15.21%,10.00%,-27.49%,173.52%,39.17,22.21,-0.98%,-1.38%,0.40%,1335438
24,"NBL","Noble Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",14577.75,,33.86,-0.15%,6201975,24,"NBL",1.15,0.90,-5.70%,-10.14%,-6.99%,-19.23%,18.79%,32.27,33.86,-0.15%,-0.76%,0.62%,6201975
25,"GPOR","Gulfport Energy Corporation","Basic Materials","Independent Oil & Gas","USA",2634.99,,16.59,-1.31%,4830980,25,"GPOR",1.20,0.59,-6.18%,-15.79%,-35.64%,-52.15%,3.36%,30.64,16.59,-1.31%,-1.31%,0.00%,4830980
26,"NFX","Newfield Exploration Company","Basic Materials","Independent Oil & Gas","USA",6860.14,,34.48,-1.15%,4201087,26,"NFX",1.52,1.21,-6.45%,-13.21%,-18.14%,-31.04%,11.66%,33.14,34.48,-1.15%,-1.40%,0.26%,4201087
27,"OAS","Oasis Petroleum Inc.","Basic Materials","Independent Oil & Gas","USA",3039.74,,12.80,-1.46%,9908371,27,"OAS",2.19,0.60,-7.07%,-10.38%,8.71%,-25.06%,100.00%,39.95,12.80,-1.46%,-1.77%,0.31%,9908371
28,"SLCA","U.S. Silica Holdings, Inc.","Basic Materials","Industrial Metals & Minerals","USA",3770.91,,46.52,-1.44%,2975711,28,"SLCA",2.57,2.71,-9.42%,-15.45%,2.02%,-24.24%,131.22%,37.54,46.52,-1.44%,-1.71%,0.28%,2975711
29,"NBR","Nabors Industries Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Bermuda",3849.24,,13.49,-0.37%,5899338,29,"NBR",1.66,0.53,-6.06%,-14.29%,6.79%,-26.35%,80.71%,35.75,13.49,-0.37%,-0.66%,0.30%,5899338
30,"LTRPA","Liberty TripAdvisor Holdings, Inc.","Consumer Goods","Recreational Goods, Other","USA",1043.75,52.06,13.90,0.00%,1087000,30,"LTRPA",,0.51,-1.09%,-13.92%,-28.29%,-43.59%,6.51%,37.01,13.90,0.00%,0.00%,0.00%,1087000
31,"TVPT","Travelport Worldwide Limited","Consumer Goods","Recreational Goods, Other","United Kingdom",1503.85,89.78,12.12,0.00%,1306424,31,"TVPT",,0.27,-3.75%,-10.61%,-10.41%,-19.10%,9.25%,33.35,12.12,0.00%,-0.49%,0.50%,1306424
32,"LKQ","LKQ Corporation","Consumer Goods","Auto Parts","USA",9342.15,20.59,30.31,-0.33%,3093942,32,"LKQ",0.54,0.56,-3.20%,-3.56%,-7.97%,-16.62%,3.20%,39.42,30.31,-0.33%,-0.92%,0.59%,3093942
33,"ICON","Iconix Brand Group, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",411.18,,7.22,-1.77%,1417215,33,"ICON",1.44,0.33,-9.40%,-20.99%,-13.92%,-33.15%,15.34%,23.28,7.22,-1.77%,-1.50%,-0.27%,1417215
34,"BETR","Amplify Snack Brands, Inc.","Consumer Goods","Food - Major Diversified","USA",642.40,24.47,8.37,2.20%,551276,34,"BETR",,0.35,-11.11%,-15.54%,-34.81%,-52.25%,6.49%,30.06,8.37,2.20%,1.82%,0.37%,551276
35,"BUFF","Blue Buffalo Pet Products, Inc.","Consumer Goods","Food - Major Diversified","USA",4689.68,36.32,23.86,-1.24%,1973797,35,"BUFF",,0.55,-3.28%,-3.95%,-3.83%,-13.24%,10.48%,36.81,23.86,-1.24%,1.71%,-2.90%,1973797
36,"PBI","Pitney Bowes Inc.","Consumer Goods","Business Equipment","USA",2393.38,25.89,12.84,-4.46%,14272534,36,"PBI",1.37,0.30,-5.10%,-10.08%,-20.59%,-38.28%,4.93%,33.37,12.84,-4.46%,-4.25%,-0.22%,14272534
37,"PEI","Pennsylvania Real Estate Investment Trust","Financial","REIT - Retail","USA",1035.25,,14.90,-1.13%,1033510,37,"PEI",1.35,0.49,-6.57%,-12.86%,-26.24%,-40.05%,3.98%,33.67,14.90,-1.13%,-1.06%,-0.07%,1033510
38,"MBI","MBIA Inc.","Financial","Property & Casualty Insurance","USA",1197.50,,8.91,-4.60%,3055780,38,"MBI",2.41,0.29,-10.05%,-14.62%,0.69%,-23.52%,40.54%,24.23,8.91,-4.60%,-4.60%,0.00%,3055780
39,"SYF","Synchrony Financial","Financial","Credit Services","USA",28474.94,12.97,35.12,-1.98%,10581403,39,"SYF",,0.65,-3.08%,-3.17%,13.40%,-7.38%,53.01%,38.17,35.12,-1.98%,-1.71%,-0.28%,10581403
40,"SPG","Simon Property Group, Inc.","Financial","REIT - Retail","USA",53737.84,28.62,168.02,-0.81%,2842715,40,"SPG",0.60,3.26,-5.52%,-6.62%,-13.11%,-24.70%,0.82%,31.36,168.02,-0.81%,-0.54%,-0.28%,2842715
41,"CDR","Cedar Realty Trust, Inc.","Financial","REIT - Retail","USA",451.02,,5.28,0.19%,1514157,41,"CDR",0.90,0.17,-4.84%,-11.03%,-21.26%,-33.14%,6.88%,35.66,5.28,0.19%,0.19%,0.00%,1514157
42,"GGP","GGP Inc.","Financial","REIT - Retail","USA",20637.03,17.48,23.32,-0.64%,6414516,42,"GGP",0.80,0.47,-4.14%,-5.84%,-13.65%,-27.35%,2.01%,37.58,23.32,-0.64%,-0.85%,0.21%,6414516
43,"ALLY","Ally Financial Inc.","Financial","Mortgage Investment","USA",9835.60,9.44,21.15,-2.04%,13787291,43,"ALLY",,0.42,-5.67%,-1.47%,9.43%,-10.46%,42.52%,37.48,21.15,-2.04%,-2.08%,0.05%,13787291
44,"PHH","PHH Corporation","Financial","Credit Services","USA",673.22,,12.56,-0.71%,551184,44,"PHH",1.65,0.39,-0.45%,-9.05%,-12.77%,-25.24%,29.09%,38.45,12.56,-0.71%,-0.87%,0.16%,551184
45,"ALXN","Alexion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",27420.39,69.36,122.08,-0.27%,2441143,45,"ALXN",1.33,3.03,-5.44%,-6.79%,-4.24%,-24.64%,11.88%,32.94,122.08,-0.27%,-0.80%,0.54%,2441143
46,"ENDP","Endo International plc","Healthcare","Drug Manufacturers - Other","Ireland",2399.05,,10.76,0.94%,12595090,46,"ENDP",0.60,0.63,-10.27%,-15.51%,-36.66%,-69.55%,9.57%,37.18,10.76,0.94%,0.56%,0.38%,12595090
47,"MNK","Mallinckrodt Public Limited Company","Healthcare","Drugs - Generic","United Kingdom",4910.43,27.30,46.90,-2.19%,1997882,47,"MNK",1.50,1.66,-8.90%,-6.85%,-23.33%,-45.36%,9.91%,35.57,46.90,-2.19%,-2.01%,-0.19%,1997882
48,"HZNP","Horizon Pharma Public Limited Company","Healthcare","Drugs - Generic","Ireland",2456.05,,15.13,-1.50%,2290250,48,"HZNP",1.79,0.54,-5.69%,-8.30%,-16.28%,-35.45%,15.94%,37.83,15.13,-1.50%,-1.11%,-0.39%,2290250
49,"MNTA","Momenta Pharmaceuticals, Inc.","Healthcare","Drugs - Generic","USA",987.94,,13.75,-0.72%,1784727,49,"MNTA",1.77,0.64,-9.30%,-14.82%,3.66%,-30.90%,74.94%,32.86,13.75,-0.72%,0.73%,-1.44%,1784727
50,"IPXL","Impax Laboratories, Inc.","Healthcare","Drug Manufacturers - Major","USA",693.16,,9.40,-1.57%,2875473,50,"IPXL",1.24,0.80,-15.94%,-23.79%,-54.42%,-74.73%,21.29%,37.99,9.40,-1.57%,-1.05%,-0.52%,2875473
51,"PETX","Aratana Therapeutics, Inc.","Healthcare","Biotechnology","USA",195.82,,5.24,-2.60%,788494,51,"PETX",3.46,0.38,-18.97%,-25.91%,-32.29%,-51.16%,30.67%,29.39,5.24,-2.60%,-2.06%,-0.56%,788494
52,"PRGO","Perrigo Company plc","Healthcare","Drug Related Products","Ireland",9964.22,,69.50,-1.93%,2932189,52,"PRGO",0.68,2.09,-8.62%,-10.22%,-20.05%,-47.75%,1.18%,33.32,69.50,-1.93%,-1.71%,-0.23%,2932189
53,"PTCT","PTC Therapeutics, Inc.","Healthcare","Biotechnology","USA",313.11,,9.06,2.49%,3706520,53,"PTCT",1.36,0.90,-22.57%,-29.44%,-9.12%,-45.09%,124.81%,31.72,9.06,2.49%,1.68%,0.79%,3706520
54,"XON","Intrexon Corporation","Healthcare","Biotechnology","USA",2492.14,,20.99,-1.82%,2239790,54,"XON",1.47,0.98,-6.88%,-8.24%,-19.52%,-46.85%,3.91%,39.80,20.99,-1.82%,-0.52%,-1.31%,2239790
55,"ESRX","Express Scripts Holding Company","Healthcare","Health Care Plans","USA",39426.31,11.98,65.09,0.40%,7076330,55,"ESRX",0.92,1.27,-6.09%,-6.59%,-10.31%,-18.66%,0.99%,30.75,65.09,0.40%,-0.15%,0.56%,7076330
56,"CSTM","Constellium N.V","Industrial Goods","Metal Fabrication","Netherlands",643.43,,6.10,0.83%,1933905,56,"CSTM",0.66,0.49,-19.10%,-17.06%,-1.99%,-31.07%,51.74%,32.34,6.10,0.83%,1.67%,-0.83%,1933905
57,"MWA","Mueller Water Products, Inc.","Industrial Goods","Industrial Equipment & Components","USA",1960.10,31.30,12.08,-0.17%,2412601,57,"MWA",1.24,0.28,-2.95%,-5.94%,-2.00%,-14.66%,34.57%,38.62,12.08,-0.17%,-0.74%,0.58%,2412601
58,"RRD","R.R. Donnelley & Sons Company","Services","Business Services","USA",953.86,,13.65,0.66%,4225062,58,"RRD",1.50,0.65,-15.60%,-18.45%,-19.45%,-43.68%,3.88%,27.74,13.65,0.66%,0.74%,-0.07%,4225062
59,"GCI","Gannett Co., Inc.","Services","Publishing - Newspapers","USA",920.00,18.33,8.10,-0.25%,1731905,59,"GCI",,0.28,-2.94%,-9.23%,-23.78%,-51.43%,15.13%,38.89,8.10,-0.25%,-0.61%,0.37%,1731905
60,"YRCW","YRC Worldwide Inc.","Services","Trucking","USA",387.01,18.17,11.65,-1.52%,802438,60,"YRCW",3.60,0.52,-6.53%,-13.02%,-2.53%,-31.35%,47.28%,36.40,11.65,-1.52%,-1.60%,0.08%,802438
61,"UAL","United Continental Holdings, Inc.","Services","Major Airlines","USA",21013.47,8.92,66.79,-1.14%,5827264,61,"UAL",0.68,2.12,-8.63%,-8.66%,13.43%,-13.03%,78.54%,33.45,66.79,-1.14%,-1.52%,0.38%,5827264
62,"GES","Guess', Inc.","Services","Apparel Stores","USA",953.27,14.87,11.30,4.15%,8262446,62,"GES",0.59,0.56,-9.23%,-10.25%,-18.86%,-38.50%,9.82%,37.68,11.30,4.15%,3.48%,0.65%,8262446
63,"ETSY","Etsy, Inc.","Services","Specialty Retail, Other","USA",1204.27,,10.37,-0.10%,1970423,63,"ETSY",,0.42,-6.99%,-14.02%,-15.33%,-35.39%,36.45%,36.53,10.37,-0.10%,0.00%,-0.10%,1970423
64,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",21033.14,8.74,41.72,-0.97%,10181196,64,"AAL",,1.21,-7.47%,-9.21%,4.49%,-17.43%,69.19%,33.72,41.72,-0.97%,-0.67%,-0.31%,10181196
65,"SCOR","comScore, Inc.","Services","Business Services","USA",1249.29,,21.85,-0.64%,191909,65,"SCOR",,0.75,-4.97%,-19.65%,-24.39%,-37.30%,5.00%,32.30,21.85,-0.64%,-0.46%,-0.18%,191909
66,"DAL","Delta Air Lines, Inc.","Services","Major Airlines","USA",34831.80,8.05,46.51,-1.90%,12265711,66,"DAL",0.85,1.11,-5.43%,-5.60%,8.00%,-11.50%,44.69%,36.75,46.51,-1.90%,-2.34%,0.45%,12265711
67,"JCP","J. C. Penney Company, Inc.","Services","Department Stores","USA",1846.72,,5.99,-2.76%,14458413,67,"JCP",0.72,0.28,-6.72%,-11.32%,-29.94%,-49.45%,2.39%,38.38,5.99,-2.76%,-3.54%,0.81%,14458413
68,"P","Pandora Media, Inc.","Services","Broadcasting - Radio","USA",2626.39,,11.48,-1.03%,7325959,68,"P",-0.24,0.46,-8.01%,-9.94%,-10.19%,-23.36%,42.61%,36.36,11.48,-1.03%,-1.96%,0.95%,7325959
69,"KBR","KBR, Inc.","Services","Technical Services","USA",2026.04,,14.18,-1.46%,1913155,69,"KBR",1.34,0.40,-6.38%,-12.28%,-7.08%,-20.21%,19.22%,31.63,14.18,-1.46%,-1.39%,-0.07%,1913155
70,"TDS","Telephone and Data Systems, Inc.","Technology","Wireless Communications","USA",2902.72,67.91,26.35,0.30%,1427697,70,"TDS",1.23,0.69,-5.19%,-9.28%,-6.44%,-19.62%,10.46%,39.51,26.35,0.30%,-0.26%,0.57%,1427697
71,"SHOR","ShoreTel, Inc.","Technology","Communication Equipment","USA",412.61,,6.05,-0.82%,786761,71,"SHOR",1.41,0.22,-5.97%,-11.63%,-16.16%,-29.32%,3.77%,30.37,6.05,-0.82%,0.00%,-0.82%,786761
72,"GRUB","GrubHub Inc.","Technology","Internet Information Providers","USA",2948.95,59.70,34.33,-0.52%,1471176,72,"GRUB",,1.07,-2.62%,-8.72%,-7.03%,-22.99%,60.35%,39.61,34.33,-0.52%,-0.67%,0.14%,1471176
73,"PANW","Palo Alto Networks, Inc.","Technology","Networking & Communication Devices","USA",10659.15,,115.81,-1.00%,1612354,73,"PANW",1.05,3.69,-11.71%,-16.66%,-16.49%,-30.10%,1.86%,27.65,115.81,-1.00%,-1.42%,0.43%,1612354
74,"FNSR","Finisar Corporation","Technology","Networking & Communication Devices","USA",3047.63,23.38,27.36,1.98%,4719881,74,"FNSR",1.39,1.53,-15.54%,-12.49%,2.96%,-25.75%,79.88%,36.19,27.36,1.98%,1.33%,0.63%,4719881
75,"SNCR","Synchronoss Technologies, Inc.","Technology","Application Software","USA",1207.50,,26.25,-0.08%,852844,75,"SNCR",2.17,1.06,-6.63%,-22.45%,-31.22%,-47.44%,3.63%,27.51,26.25,-0.08%,0.08%,-0.15%,852844
76,"CPN","Calpine Corporation","Utilities","Electric Utilities","USA",3906.46,42.83,10.88,-2.86%,4223457,76,"CPN",1.00,0.33,-4.89%,-6.41%,-13.58%,-32.30%,4.72%,38.51,10.88,-2.86%,-2.07%,-0.80%,4223457
