"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"PEIX","Pacific Ethanol, Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",294.78,6800.00,6.80,2.26%,2007226,1,"PEIX",2.15,0.41,-9.00%,-11.99%,-5.48%,-37.90%,85.29%,35.67,6.80,2.26%,3.03%,-0.75%,2007226
2,"CRC","California Resources Corporation","Basic Materials","Independent Oil & Gas","USA",626.76,2.28,14.73,-3.28%,2406717,2,"CRC",,1.14,-14.31%,-23.52%,-0.39%,-42.24%,67.58%,35.04,14.73,-3.28%,-5.27%,2.10%,2406717
3,"FMSA","Fairmount Santrol Holdings Inc.","Basic Materials","Industrial Metals & Minerals","USA",1638.73,,7.32,1.39%,7959511,3,"FMSA",,0.70,-22.71%,-34.36%,-18.11%,-44.21%,214.16%,27.93,7.32,1.39%,0.41%,0.97%,7959511
4,"DVN","Devon Energy Corporation","Basic Materials","Independent Oil & Gas","USA",21267.28,,40.54,-0.44%,5179635,4,"DVN",2.10,1.34,-4.93%,-9.30%,-3.98%,-19.80%,65.90%,37.95,40.54,-0.44%,-0.90%,0.47%,5179635
5,"HAL","Halliburton Company","Basic Materials","Oil & Gas Equipment & Services","USA",44022.70,,50.78,-0.27%,8117842,5,"HAL",1.06,1.24,-3.46%,-6.92%,5.41%,-13.31%,55.01%,38.35,50.78,-0.27%,-0.72%,0.45%,8117842
6,"MPLX","MPLX LP","Basic Materials","Oil & Gas Pipelines","USA",13191.04,,35.75,-2.05%,2158770,6,"MPLX",1.32,0.83,-4.29%,-3.32%,7.88%,-9.33%,46.14%,38.76,35.75,-2.05%,-2.03%,-0.03%,2158770
7,"MDR","McDermott International, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1590.69,55.85,6.59,0.76%,4358008,7,"MDR",1.45,0.28,-7.63%,-12.58%,9.86%,-20.89%,86.69%,36.85,6.59,0.76%,1.38%,-0.61%,4358008
8,"WLL","Whiting Petroleum Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",3322.33,,9.16,-1.29%,13851132,8,"WLL",3.21,0.48,-11.50%,-18.10%,-6.47%,-36.57%,43.57%,34.11,9.16,-1.29%,-1.93%,0.65%,13851132
9,"PBF","PBF Energy Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",2393.23,12.64,21.90,-2.01%,2094169,9,"PBF",1.38,0.76,-5.38%,-7.15%,-5.54%,-35.48%,15.43%,39.59,21.90,-2.01%,-2.45%,0.45%,2094169
10,"CNX","CONSOL Energy Inc.","Basic Materials","Independent Oil & Gas","USA",3464.54,,15.10,-0.72%,5084839,10,"CNX",1.45,0.52,-4.53%,-11.90%,-14.35%,-32.41%,56.31%,37.75,15.10,-0.72%,-0.85%,0.13%,5084839
11,"HES","Hess Corporation","Basic Materials","Independent Oil & Gas","USA",15275.25,,48.26,-0.68%,3236266,11,"HES",1.79,1.33,-3.83%,-10.10%,-10.65%,-25.70%,7.36%,37.07,48.26,-0.68%,-0.92%,0.25%,3236266
12,"ESV","Ensco plc","Basic Materials","Oil & Gas Drilling & Exploration","United Kingdom",2584.16,2.70,8.53,-0.70%,10543515,12,"ESV",1.70,0.44,-10.76%,-18.57%,-8.49%,-30.69%,31.50%,33.96,8.53,-0.70%,-0.81%,0.12%,10543515
13,"AR","Antero Resources Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",7396.43,,23.48,-0.63%,2722190,13,"AR",0.99,0.65,-3.41%,-5.56%,-9.83%,-23.42%,1.78%,38.38,23.48,-0.63%,-1.01%,0.38%,2722190
14,"CPE","Callon Petroleum Company","Basic Materials","Independent Oil & Gas","USA",2384.45,,11.86,0.51%,5731382,14,"CPE",1.67,0.52,-6.57%,-16.00%,-14.84%,-36.00%,51.08%,35.49,11.86,0.51%,0.00%,0.51%,5731382
15,"CRZO","Carrizo Oil & Gas, Inc.","Basic Materials","Independent Oil & Gas","USA",1851.93,,28.43,-0.32%,1659152,15,"CRZO",2.11,1.25,-8.30%,-15.91%,-22.12%,-35.33%,7.28%,34.59,28.43,-0.32%,-0.70%,0.39%,1659152
16,"QEP","QEP Resources, Inc.","Basic Materials","Oil & Gas Pipelines","USA",3152.74,,13.16,-1.79%,5556827,16,"QEP",1.78,0.57,-7.95%,-19.63%,-26.38%,-37.69%,6.39%,31.55,13.16,-1.79%,-2.73%,0.97%,5556827
17,"RRC","Range Resources Corporation","Basic Materials","Independent Oil & Gas","USA",6809.28,,27.51,-0.65%,4840389,17,"RRC",1.04,0.99,-3.09%,-12.64%,-25.77%,-41.31%,3.11%,37.14,27.51,-0.65%,-1.26%,0.61%,4840389
18,"XEC","Cimarex Energy Co.","Basic Materials","Independent Oil & Gas","USA",11501.91,,120.92,-0.11%,1012086,18,"XEC",1.52,3.01,-3.38%,-8.29%,-6.03%,-17.67%,32.73%,37.13,120.92,-0.11%,-0.62%,0.52%,1012086
19,"BRS","Bristow Group Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",488.45,,13.92,0.51%,1027262,19,"BRS",2.82,0.69,-9.13%,-19.56%,-3.60%,-39.90%,54.13%,32.09,13.92,0.51%,-0.50%,1.01%,1027262
20,"INT","World Fuel Services Corporation","Basic Materials","Oil & Gas Refining & Marketing","USA",2586.01,20.41,36.98,0.46%,694857,20,"INT",1.06,0.89,0.71%,-10.90%,-16.47%,-27.10%,3.84%,36.31,36.98,0.46%,0.24%,0.22%,694857
21,"APA","Apache Corporation","Basic Materials","Independent Oil & Gas","USA",19447.72,,51.22,0.27%,5220139,21,"APA",1.16,1.30,-2.13%,-10.38%,-11.22%,-25.47%,12.90%,35.16,51.22,0.27%,-0.02%,0.29%,5220139
