"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
44,"MNTA",1.77,0.66,-12.00%,-14.77%,4.23%,-30.65%,75.57%,30.58,13.80,0.36%,0.36%,0.00%,802040
45,"ARAY",1.41,0.19,-5.85%,-5.57%,-5.86%,-21.75%,12.36%,37.00,5.00,0.00%,0.00%,0.00%,943341
46,"TASR",0.62,0.66,-6.22%,-7.96%,-9.96%,-23.68%,33.93%,33.84,23.01,0.52%,0.09%,0.44%,818698
47,"CSTM",0.68,0.52,-23.32%,-19.10%,-4.25%,-32.77%,48.01%,28.93,5.95,0.00%,-1.65%,1.68%,2851814
48,"MWA",1.24,0.31,-2.67%,-5.69%,-1.25%,-14.10%,41.54%,39.99,12.16,-1.06%,0.58%,-1.63%,2543653
49,"TGI",1.50,0.88,-6.58%,-7.13%,-16.86%,-38.26%,10.37%,36.25,24.65,2.28%,1.65%,0.62%,775526
50,"P",-0.24,0.47,-8.43%,-9.37%,-9.25%,-22.56%,44.10%,38.06,11.60,0.09%,0.00%,0.09%,5407191
51,"KBR",1.34,0.42,-7.02%,-11.84%,-6.02%,-19.31%,20.56%,32.37,14.34,1.34%,0.99%,0.35%,3832583
52,"GCI",,0.29,-3.63%,-9.94%,-24.35%,-51.49%,14.98%,37.36,8.09,1.13%,0.37%,0.75%,1044978
53,"UAL",0.68,2.21,-7.61%,-7.03%,16.22%,-11.24%,82.22%,36.09,68.17,2.43%,4.88%,-2.33%,11319279
54,"YRCW",3.61,0.56,-6.92%,-12.77%,-1.57%,-30.82%,48.42%,35.73,11.74,2.44%,1.82%,0.61%,523812
55,"ETSY",,0.45,-10.48%,-15.61%,-16.39%,-36.26%,34.61%,34.49,10.23,1.89%,1.49%,0.40%,1732399
56,"BKS",2.24,0.39,-10.93%,-16.27%,-22.79%,-35.18%,1.78%,30.75,8.60,-0.58%,-1.15%,0.58%,656906
57,"AAL",,1.28,-7.66%,-8.75%,5.70%,-16.70%,70.69%,35.18,42.09,2.14%,3.93%,-1.72%,13971653
58,"SCOR",,1.02,-3.95%,-19.87%,-23.80%,-36.59%,6.20%,33.97,22.10,0.23%,0.20%,0.02%,152613
59,"GNC",0.70,0.53,-12.40%,-22.72%,-58.73%,-79.95%,0.58%,31.77,6.97,0.29%,-0.43%,0.72%,3322078
60,"KR",0.78,0.69,-7.99%,-11.67%,-12.63%,-25.43%,1.94%,25.67,28.84,0.49%,0.03%,0.45%,9013115
61,"RRD",1.52,0.68,-17.04%,-18.41%,-18.97%,-43.27%,4.64%,27.40,13.75,0.66%,0.36%,0.29%,1121040
62,"JCP",0.72,0.28,-7.33%,-11.44%,-29.26%,-48.86%,3.59%,39.18,6.06,0.83%,1.17%,-0.33%,12563483
63,"DAL",0.86,1.13,-4.63%,-4.36%,9.69%,-10.20%,46.80%,38.83,47.19,1.97%,2.74%,-0.76%,17908010
64,"SHOR",1.41,0.22,-6.36%,-11.45%,-15.52%,-28.74%,4.63%,30.65,6.10,1.67%,0.83%,0.83%,250632
65,"TDS",1.23,0.74,-7.83%,-10.81%,-7.67%,-20.62%,9.09%,36.27,26.18,1.55%,1.67%,-0.12%,716647
66,"PANW",1.08,4.00,-13.42%,-16.06%,-15.75%,-29.42%,2.86%,28.09,116.95,0.27%,0.11%,0.15%,1274659
67,"CIEN",1.68,0.70,-6.19%,-4.10%,7.82%,-11.55%,51.98%,39.65,23.74,3.89%,3.80%,0.09%,5485828
68,"SNCR",2.17,1.13,-10.40%,-24.63%,-32.33%,-48.16%,2.21%,22.89,25.89,1.05%,0.50%,0.55%,998397
69,"YELP",1.93,1.05,-0.14%,-10.37%,-3.76%,-21.31%,83.16%,39.78,34.16,1.15%,1.15%,0.00%,2289370
70,"IIVI",0.16,1.19,-8.46%,-3.44%,26.17%,-18.13%,89.47%,39.12,33.65,1.97%,1.36%,0.61%,1232869
71,"RUBI",,0.40,-29.66%,-27.36%,-36.82%,-70.25%,-0.98%,19.96,6.06,-27.77%,-9.55%,-20.14%,6967019
72,"RUN",,0.22,-10.59%,-12.23%,-11.70%,-40.83%,20.48%,29.66,5.00,2.25%,2.04%,0.20%,891554
73,"SYNA",1.25,1.34,-7.83%,-9.58%,-12.21%,-45.50%,5.22%,32.58,49.55,0.24%,-0.46%,0.71%,525178
74,"IPHI",1.46,1.59,-7.24%,-6.64%,6.11%,-15.74%,68.52%,37.02,43.63,4.15%,4.08%,0.07%,1511715
75,"FNSR",1.37,1.62,-20.15%,-15.32%,0.41%,-27.87%,74.75%,31.99,26.58,3.46%,1.64%,1.79%,8726775
