Ticker,Date,Open,High,Low,Close,Volume,Adj_Close,Change,Gain,Loss,AvgGain,AvgLoss,RS,RSI,EMA12,EMA26,MACD,Signal,Histogram
DIN,2017-01-17,75.529999,75.919998,74.019997,74.209999,332300,74.209999,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-13,77.089996,77.089996,75.510002,75.559998,159400,75.559998,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-12,76.730003,76.800003,76.300003,76.620003,99800,76.620003,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-11,76.889999,78.150002,76.379997,76.959999,215000,76.959999,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-10,75.900002,77.43,75.529999,76.989998,215000,76.989998,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-09,76.190002,76.300003,75.50,75.559998,159100,75.559998,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-06,76.809998,76.879997,75.889999,75.989998,173800,75.989998,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-05,76.860001,77.470001,76.260002,76.580002,200500,76.580002,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-04,76.290001,77.190002,76.010002,76.690002,269200,76.690002,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2017-01-03,77.290001,77.370003,75.599998,75.940002,210600,75.940002,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-30,78.139999,78.139999,76.75,77.00,136100,77.00,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-29,77.800003,78.559998,77.410004,77.739998,88300,77.739998,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-28,78.459999,78.459999,77.010002,77.230003,128600,77.230003,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-27,78.760002,79.43,78.260002,78.370003,84800,78.370003,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-23,79.129997,79.639999,78.300003,78.769997,70500,78.769997,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-22,78.830002,79.699997,78.449997,79.07,188800,79.07,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-21,78.419998,79.790001,77.879997,78.629997,295500,78.629997,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-20,79.129997,79.839996,78.169998,78.510002,302300,78.510002,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-19,80.550003,81.599998,78.940002,79.309998,330300,79.309998,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-16,83.220001,83.889999,82.75,83.029999,321200,83.029999,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-15,82.93,83.68,82.669998,82.889999,136200,82.889999,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-14,83.230003,84.00,82.75,83.050003,128500,83.050003,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-13,85.410004,85.669998,84.25,84.720001,155200,83.750003,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-12,87.059998,87.540001,84.57,85.010002,147100,84.036684,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-09,86.589996,87.699997,86.459999,87.110001,193800,86.112638,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-08,85.599998,86.830002,84.760002,86.830002,160900,85.835846,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-07,85.830002,86.050003,84.839996,85.290001,196700,84.313477,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-06,84.339996,85.870003,84.190002,85.699997,198100,84.718779,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-05,85.449997,86.019997,84.050003,84.489998,322200,83.522633,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-02,86.589996,87.230003,85.129997,85.160004,200800,84.184968,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-12-01,83.589996,86.580002,83.580002,86.580002,315400,85.588708,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-30,84.959999,84.959999,83.389999,83.580002,208700,82.623056,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-29,86.349998,86.550003,84.989998,85.00,167400,84.026796,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-28,87.339996,87.519997,86.160004,86.190002,130400,85.203174,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-25,87.599998,87.839996,86.949997,87.709999,48200,86.705767,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-23,87.169998,88.00,86.650002,87.169998,159000,86.171949,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-22,86.160004,87.50,85.260002,87.110001,163100,86.112638,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-21,84.910004,86.550003,84.910004,86.410004,122600,85.420656,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-18,83.089996,84.949997,83.07,84.900002,158300,83.927943,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-17,85.099998,85.839996,84.010002,84.709999,192700,83.740116,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-16,85.709999,86.029999,84.639999,85.099998,141500,84.12565,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-15,85.639999,86.010002,84.07,85.849998,176400,84.867063,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-14,83.010002,85.339996,82.660004,85.220001,234700,84.244279,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-11,81.830002,83.599998,81.18,82.480003,214600,81.535652,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-10,80.790001,82.989998,80.790001,81.879997,229000,80.942516,0,0,0,0,0,0,0,0,0,0,0,0
DIN,2016-11-09,77.089996,80.639999,76.690002,80.599998,237800,79.677172,0,0,0,0,0,0,0,0,0,0,0,0
