Ticker,Date,Open,High,Low,Close,Volume,Adj_Close,Change,Gain,Loss,AvgGain,AvgLoss,RS,RSI,EMA12,EMA26,MACD,Signal,Histogram
BBOX,2017-02-24,9.75,10.00,9.55,9.55,97100,9.55,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-23,10.15,10.20,9.70,9.85,102700,9.85,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-22,9.70,10.20,9.65,10.05,126500,10.05,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-21,9.75,9.90,9.60,9.65,145600,9.65,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-17,9.90,10.15,9.60,9.65,168900,9.65,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-16,10.15,10.15,9.70,9.90,192400,9.90,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-15,8.95,10.35,8.85,10.10,310300,10.10,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-14,9.10,9.10,8.80,8.95,181700,8.95,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-13,9.10,9.25,9.00,9.05,96600,9.05,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-10,8.85,9.15,8.84,9.00,138700,9.00,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-09,8.80,9.10,8.80,8.85,142300,8.85,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-08,8.95,9.05,8.80,8.85,242400,8.85,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-07,9.30,9.30,8.85,9.00,152300,9.00,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-06,9.60,9.69,9.10,9.20,115800,9.20,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-03,9.90,11.25,9.32,9.55,209800,9.55,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-02,11.20,11.24,9.55,9.90,280900,9.90,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-02-01,12.15,13.20,10.60,11.15,307500,11.15,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-01-31,13.15,13.55,13.10,13.35,93600,13.35,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-01-30,13.70,13.85,13.05,13.25,153500,13.25,0,0,0,0,0,0,0,0,0,0,0,0
BBOX,2017-01-27,13.55,13.90,13.45,13.80,105100,13.80,0,0,0,0,0,0,0,0,0,0,0,0
