"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"CDE","Coeur Mining, Inc.","Basic Materials","Silver","USA",1356.92,23.57,7.73,2.25%,3126291
2,"CVE","Cenovus Energy Inc.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",9974.60,,11.97,-0.91%,1949827
3,"CRC","California Resources Corporation","Basic Materials","Independent Oil & Gas","USA",677.27,2.36,15.24,1.40%,1519811
4,"RGLD","Royal Gold, Inc.","Basic Materials","Gold","USA",4106.40,391.49,63.03,0.13%,373714
5,"FMSA","Fairmount Santrol Holdings Inc.","Basic Materials","Industrial Metals & Minerals","USA",1605.12,,7.30,-1.35%,5432996
6,"AEM","Agnico Eagle Mines Limited","Basic Materials","Gold","Canada",9005.29,58.35,41.25,0.12%,1373808
7,"DVN","Devon Energy Corporation","Basic Materials","Independent Oil & Gas","USA",21759.59,,40.96,1.74%,4366698
8,"SLB","Schlumberger Limited","Basic Materials","Oil & Gas Equipment & Services","USA",109578.03,,78.59,-0.13%,6704553
9,"XOG","Extraction Oil & Gas, LLC","Basic Materials","Independent Oil & Gas","USA",2773.35,,16.36,0.00%,851694
10,"HAL","Halliburton Company","Basic Materials","Oil & Gas Equipment & Services","USA",44092.10,,50.88,-0.06%,6272390
11,"AKS","AK Steel Holding Corporation","Basic Materials","Steel & Iron","USA",2514.23,,7.89,2.73%,11728139
12,"MDR","McDermott International, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1585.87,56.02,6.61,0.30%,2462479
13,"WLL","Whiting Petroleum Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",3428.38,,9.29,1.53%,9571035
14,"CNX","CONSOL Energy Inc.","Basic Materials","Independent Oil & Gas","USA",3559.05,,15.35,1.05%,2083472
15,"MTDR","Matador Resources Company","Basic Materials","Independent Oil & Gas","USA",2332.66,,23.13,-0.81%,1283143
16,"HES","Hess Corporation","Basic Materials","Independent Oil & Gas","USA",15432.82,,47.79,0.78%,6240674
17,"REN","Resolute Energy Corporation","Basic Materials","Independent Oil & Gas","USA",783.37,,36.15,-1.28%,834879
18,"CRZO","Carrizo Oil & Gas, Inc.","Basic Materials","Independent Oil & Gas","USA",1836.43,,28.49,1.33%,1226889
19,"ESV","Ensco plc","Basic Materials","Oil & Gas Drilling & Exploration","United Kingdom",2587.39,2.75,8.71,-0.34%,5788436
20,"BAS","Basic Energy Services, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",789.58,,31.52,-1.22%,418683
21,"CPE","Callon Petroleum Company","Basic Materials","Independent Oil & Gas","USA",2314.08,,11.60,0.61%,3034884
22,"APC","Anadarko Petroleum Corporation","Basic Materials","Independent Oil & Gas","USA",35143.39,,62.82,1.50%,4143915
23,"SXC","SunCoke Energy, Inc.","Basic Materials","Nonmetallic Mineral Mining","USA",562.09,39.82,8.72,5.06%,959014
24,"EGN","Energen Corporation","Basic Materials","Independent Oil & Gas","USA",4962.37,,50.59,-0.30%,1055923
25,"QEP","QEP Resources, Inc.","Basic Materials","Oil & Gas Pipelines","USA",3097.57,,12.92,0.08%,3793342
26,"BHI","Baker Hughes Incorporated","Basic Materials","Oil & Gas Equipment & Services","USA",24587.22,,56.68,0.71%,1665250
27,"RRC","Range Resources Corporation","Basic Materials","Independent Oil & Gas","USA",7018.60,,28.08,2.00%,5311837
28,"XEC","Cimarex Energy Co.","Basic Materials","Independent Oil & Gas","USA",11632.11,,120.59,1.14%,751401
29,"HK","Halcon Resources Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",673.16,,7.39,0.54%,990655
30,"EQT","EQT Corporation","Basic Materials","Independent Oil & Gas","USA",10095.94,,57.81,1.28%,2590441
31,"MUR","Murphy Oil Corporation","Basic Materials","Independent Oil & Gas","USA",4565.09,,26.40,-0.64%,3451532
32,"BRS","Bristow Group Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",494.84,,14.10,0.79%,485530
33,"INT","World Fuel Services Corporation","Basic Materials","Oil & Gas Refining & Marketing","USA",2528.69,20.20,36.60,0.27%,468686
34,"APA","Apache Corporation","Basic Materials","Independent Oil & Gas","USA",19196.73,,50.16,-0.14%,4053343
35,"SWN","Southwestern Energy Company","Basic Materials","Independent Oil & Gas","USA",3794.60,,7.60,2.15%,9008336
36,"NBL","Noble Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",14900.28,,34.05,-0.06%,5425237
37,"GPOR","Gulfport Energy Corporation","Basic Materials","Independent Oil & Gas","USA",2666.04,,16.55,-1.66%,5969333
38,"PDCE","PDC Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",4252.63,,64.21,0.86%,946511
39,"UNT","Unit Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",1149.73,,22.26,0.50%,370411
40,"NFX","Newfield Exploration Company","Basic Materials","Independent Oil & Gas","USA",6918.22,,34.51,0.58%,3001391
41,"SLCA","U.S. Silica Holdings, Inc.","Basic Materials","Industrial Metals & Minerals","USA",3740.46,,46.50,-0.13%,1934299
42,"NBR","Nabors Industries Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Bermuda",3766.73,,13.41,-0.22%,4263456
43,"GIII","G-III Apparel Group, Ltd.","Consumer Goods","Textile - Apparel Clothing","USA",1147.68,14.05,23.95,-1.96%,317302
44,"LTRPA","Liberty TripAdvisor Holdings, Inc.","Consumer Goods","Recreational Goods, Other","USA",1049.18,52.25,13.95,-0.36%,684351
45,"TVPT","Travelport Worldwide Limited","Consumer Goods","Recreational Goods, Other","United Kingdom",1525.47,91.11,12.30,1.57%,1613519
46,"LKQ","LKQ Corporation","Consumer Goods","Auto Parts","USA",9447.48,20.54,30.23,0.77%,2380892
47,"ICON","Iconix Brand Group, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",404.68,,7.22,-2.70%,962411
48,"BETR","Amplify Snack Brands, Inc.","Consumer Goods","Food - Major Diversified","USA",633.47,22.21,8.04,-4.06%,856969
49,"THO","Thor Industries, Inc.","Consumer Goods","Recreational Vehicles","USA",5100.99,16.77,97.31,-2.26%,1619137
50,"PEI","Pennsylvania Real Estate Investment Trust","Financial","REIT - Retail","USA",1040.28,,14.76,1.30%,2455551
51,"KRG","Kite Realty Group Trust","Financial","REIT - Retail","USA",1721.40,1449.29,20.29,1.30%,999774
52,"KIM","Kimco Realty Corporation","Financial","REIT - Retail","USA",9278.38,37.61,21.85,0.97%,5561379
